Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará)
2020-05-10,36,13
2020-05-17,31,8
2020-05-24,29,7
2020-05-31,24,6
2020-06-07,19,5
2020-06-14,20,6
2020-06-21,21,6
2020-06-28,21,5
2020-07-05,16,4
2020-07-12,14,3
2020-07-19,15,3
2020-07-26,10,3
2020-08-02,13,3
2020-08-09,12,3
2020-08-16,10,2
2020-08-23,9,2
2020-08-30,8,2
2020-09-06,8,2
2020-09-13,7,1
2020-09-20,8,2
2020-09-27,8,2
2020-10-04,6,1
2020-10-11,6,2
2020-10-18,6,0
2020-10-25,6,0
2020-11-01,6,0
2020-11-08,7,1
2020-11-15,5,0
2020-11-22,4,1
2020-11-29,5,0
2020-12-06,6,0
2020-12-13,7,1
2020-12-20,4,0
2020-12-27,5,0
2021-01-03,6,2
2021-01-10,5,2
2021-01-17,7,2
2021-01-24,6,2
2021-01-31,10,2
2021-02-07,11,2
2021-02-14,10,4
2021-02-21,13,3
2021-02-28,15,5
2021-03-07,19,5
2021-03-14,19,4
2021-03-21,23,6
2021-03-28,20,6
2021-04-04,25,6
2021-04-11,27,6
2021-04-18,28,8
2021-04-25,30,7
2021-05-02,29,8
2021-05-09,36,10
2021-05-16,41,11
2021-05-23,45,12
2021-05-30,44,12
2021-06-06,45,12
2021-06-13,42,12
2021-06-20,35,10
2021-06-27,32,8
2021-07-04,32,9
2021-07-11,25,6
2021-07-18,25,7
2021-07-25,20,6
2021-08-01,20,5
2021-08-08,18,5
2021-08-15,19,5
2021-08-22,16,4
2021-08-29,15,4
2021-09-05,12,3
2021-09-12,11,2
2021-09-19,14,3
2021-09-26,11,1
2021-10-03,12,2
2021-10-10,7,2
2021-10-17,7,2
2021-10-24,6,2
2021-10-31,6,1
2021-11-07,6,0
2021-11-14,7,0
2021-11-21,6,0
2021-11-28,7,0
2021-12-05,7,2
2021-12-12,7,3
2021-12-19,6,0
2021-12-26,7,2
2022-01-02,12,4
2022-01-09,16,5
2022-01-16,16,6
2022-01-23,13,3
2022-01-30,14,3
2022-02-06,16,4
2022-02-13,19,4
2022-02-20,20,5
2022-02-27,21,6
2022-03-06,26,6
2022-03-13,26,7
2022-03-20,31,8
2022-03-27,32,8
2022-04-03,34,9
2022-04-10,33,10
2022-04-17,46,14
2022-04-24,55,16
2022-05-01,59,17
2022-05-08,56,16
2022-05-15,60,18
2022-05-22,52,18
2022-05-29,59,19
2022-06-05,56,17
2022-06-12,55,17
2022-06-19,50,16
2022-06-26,46,16
2022-07-03,40,13
2022-07-10,32,10
2022-07-17,26,7
2022-07-24,26,9
2022-07-31,24,7
2022-08-07,20,5
2022-08-14,16,4
2022-08-21,16,4
2022-08-28,16,5
2022-09-04,12,3
2022-09-11,15,3
2022-09-18,12,3
2022-09-25,11,3
2022-10-02,8,1
2022-10-09,9,2
2022-10-16,10,3
2022-10-23,9,2
2022-10-30,8,2
2022-11-06,8,2
2022-11-13,8,2
2022-11-20,9,3
2022-11-27,7,2
2022-12-04,6,2
2022-12-11,7,1
2022-12-18,5,2
2022-12-25,6,3
2023-01-01,5,2
2023-01-08,6,2
2023-01-15,7,2
2023-01-22,8,2
2023-01-29,11,3
2023-02-05,11,3
2023-02-12,13,3
2023-02-19,15,4
2023-02-26,19,5
2023-03-05,21,7
2023-03-12,25,8
2023-03-19,29,8
2023-03-26,33,10
2023-04-02,26,8
2023-04-09,24,8
2023-04-16,22,6
2023-04-23,20,6
2023-04-30,19,5
2023-05-07,18,4
2023-05-14,18,5
2023-05-21,18,4
2023-05-28,15,4
2023-06-04,12,3
2023-06-11,15,3
2023-06-18,16,4
2023-06-25,12,3
2023-07-02,16,3
2023-07-09,12,3
2023-07-16,10,2
2023-07-23,10,3
2023-07-30,8,1
2023-08-06,9,2
2023-08-13,8,2
2023-08-20,9,3
2023-08-27,8,1
2023-09-03,6,2
2023-09-10,7,1
2023-09-17,8,1
2023-09-24,7,2
2023-10-01,8,2
2023-10-08,5,0
2023-10-15,6,1
2023-10-22,6,0
2023-10-29,6,1
2023-11-05,7,1
2023-11-12,8,2
2023-11-19,8,2
2023-11-26,8,2
2023-12-03,7,2
2023-12-10,7,2
2023-12-17,8,2
2023-12-24,7,2
2023-12-31,8,2
2024-01-07,10,2
2024-01-14,9,3
2024-01-21,14,4
2024-01-28,21,5
2024-02-04,30,6
2024-02-11,48,14
2024-02-18,81,20
2024-02-25,96,21
2024-03-03,100,22
2024-03-10,88,18
2024-03-17,77,19
2024-03-24,57,14
2024-03-31,70,19
2024-04-07,66,16
2024-04-14,59,16
2024-04-21,52,13
2024-04-28,41,9
2024-05-05,34,8
2024-05-12,30,6
2024-05-19,28,5
2024-05-26,22,3
2024-06-02,24,5
2024-06-09,24,5
2024-06-16,16,3
2024-06-23,16,3
2024-06-30,13,3
2024-07-07,13,3
2024-07-14,11,3
2024-07-21,11,3
2024-07-28,10,1
2024-08-04,10,3
2024-08-11,11,1
2024-08-18,10,2
2024-08-25,9,2
2024-09-01,8,2
2024-09-08,10,0
2024-09-15,9,2
2024-09-22,8,0
2024-09-29,8,2
2024-10-06,9,2
2024-10-13,8,1
2024-10-20,13,0
2024-10-27,8,0
2024-11-03,8,0
2024-11-10,9,1
2024-11-17,7,0
2024-11-24,8,2
2024-12-01,8,2
2024-12-08,7,0
2024-12-15,10,1
2024-12-22,6,0
2024-12-29,7,2
2025-01-05,9,1
2025-01-12,9,0
2025-01-19,11,2
2025-01-26,14,2
2025-02-02,13,3
2025-02-09,16,2
2025-02-16,18,2
2025-02-23,18,3
2025-03-02,13,0
2025-03-09,19,2
2025-03-16,19,3
2025-03-23,17,3
2025-03-30,17,2
2025-04-06,16,2
2025-04-13,16,3
2025-04-20,14,3
2025-04-27,16,3
2025-05-04,17,3
2025-05-11,14,3
